Год,Выпуск,бумажная версия в МЦНМО,электронная версия в МЦНМО
2023,6,https://biblio.mccme.ru/node/195168,
2023,5,https://biblio.mccme.ru/node/191676,https://biblio.mccme.ru/node/191676
2023,4,https://biblio.mccme.ru/node/187770,https://biblio.mccme.ru/node/187770
2023,3,https://biblio.mccme.ru/node/184473,https://biblio.mccme.ru/node/184473
2023,2,https://biblio.mccme.ru/node/179094/shop,https://biblio.mccme.ru/node/179094/shop
2023,1,https://biblio.mccme.ru/node/176280/shop,https://biblio.mccme.ru/node/179089/shop
2022,12,https://biblio.mccme.ru/node/170731/shop,https://biblio.mccme.ru/node/175777/shop
2022,11,https://biblio.mccme.ru/node/165312/shop,https://biblio.mccme.ru/node/171653/shop
2022,10,https://biblio.mccme.ru/node/163123/shop,https://biblio.mccme.ru/node/167358/shop
2022,9,https://biblio.mccme.ru/node/156105/shop,https://biblio.mccme.ru/node/163676/shop
2022,8,https://biblio.mccme.ru/node/153479/shop,https://biblio.mccme.ru/node/157033/shop
2022,7,https://biblio.mccme.ru/node/148863/shop,https://biblio.mccme.ru/node/153449/shop
2022,6,https://biblio.mccme.ru/node/145305/shop,https://biblio.mccme.ru/node/151364/shop
2022,5,https://biblio.mccme.ru/node/142156/shop,https://biblio.mccme.ru/node/145408/shop
2022,4,https://biblio.mccme.ru/node/137102/shop,https://biblio.mccme.ru/node/142470/shop
2022,3,https://biblio.mccme.ru/node/131972/shop,https://biblio.mccme.ru/node/137574/shop
2022,2,https://biblio.mccme.ru/node/126298/shop,https://biblio.mccme.ru/node/133702/shop
2022,1,https://biblio.mccme.ru/node/122359/shop,https://biblio.mccme.ru/node/129031/shop
2021,12,https://biblio.mccme.ru/node/120314/shop,https://biblio.mccme.ru/node/123378/shop
2021,11,https://biblio.mccme.ru/node/116215/shop,https://biblio.mccme.ru/node/119326/shop
2021,10,https://biblio.mccme.ru/node/110501/shop,https://biblio.mccme.ru/node/114722/shop
2021,9,https://biblio.mccme.ru/node/106190/shop,https://biblio.mccme.ru/node/110418/shop
2021,8,https://biblio.mccme.ru/node/102816/shop,https://biblio.mccme.ru/node/106187/shop
2021,7,https://biblio.mccme.ru/node/101213/shop,https://biblio.mccme.ru/node/102815/shop
2021,6,https://biblio.mccme.ru/node/95716/shop,https://biblio.mccme.ru/node/99287/shop
2021,5,https://biblio.mccme.ru/node/92190/shop,https://biblio.mccme.ru/node/95159/shop
2021,4,https://biblio.mccme.ru/node/89127/shop,https://biblio.mccme.ru/node/91002/shop
2021,3,https://biblio.mccme.ru/node/83544/shop,https://biblio.mccme.ru/node/86395/shop
2021,2,https://biblio.mccme.ru/node/79576/shop,https://biblio.mccme.ru/node/83864/shop
2021,1,https://biblio.mccme.ru/node/77270/shop,https://biblio.mccme.ru/node/79535/shop
